første søjle = x og anden søjle = atan(x)-2	-1.10715
-1.9	-1.08632
-1.8	-1.0637
-1.7	-1.03907
-1.6	-1.0122
-1.5	-0.982794
-1.4	-0.950547
-1.3	-0.915101
-1.2	-0.876058
-1.1	-0.832981
-1	-0.785398
-0.9	-0.732815
-0.8	-0.674741
-0.7	-0.610726
-0.6	-0.54042
-0.5	-0.463648
-0.4	-0.380506
-0.3	-0.291457
-0.2	-0.197396
-0.1	-0.0996687
0	1.10225e-13
0.1	0.0996687
0.2	0.197396
0.3	0.291457
0.4	0.380506
0.5	0.463648
0.6	0.54042
0.7	0.610726
0.8	0.674741
0.9	0.732815
1	0.785398
1.1	0.832981
1.2	0.876058
1.3	0.915101
1.4	0.950547
1.5	0.982794
1.6	1.0122
1.7	1.03907
1.8	1.0637
1.9	1.08632
2	1.10715
